Groups:
AD9226_0_BITS[11..0] =, AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0],  signed decimal
AD9226_1_BITS[11..0] =, AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0],  signed decimal

Data:
time unit: s, AD9226_0_BITS[11..0], AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0], AD9226_1_BITS[11..0], AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
81, -1752, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 112, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
82, -1737, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 112, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 
83, -1714, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 113, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 
84, -1616, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 
85, -1656, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 111, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 
86, -1652, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 113, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 
87, -1648, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 
88, -1579, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 110, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
89, -1586, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 109, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 
90, -1501, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 111, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 
91, -1537, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 109, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 
92, -1502, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 110, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
93, -1481, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 110, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
