Groups:
Filter:Filter_0_inst|Filter_bits[11..0] =, Filter:Filter_0_inst|Filter_bits[11], Filter:Filter_0_inst|Filter_bits[10], Filter:Filter_0_inst|Filter_bits[9], Filter:Filter_0_inst|Filter_bits[8], Filter:Filter_0_inst|Filter_bits[7], Filter:Filter_0_inst|Filter_bits[6], Filter:Filter_0_inst|Filter_bits[5], Filter:Filter_0_inst|Filter_bits[4], Filter:Filter_0_inst|Filter_bits[3], Filter:Filter_0_inst|Filter_bits[2], Filter:Filter_0_inst|Filter_bits[1], Filter:Filter_0_inst|Filter_bits[0],  signed decimal

Data:
time unit: s, Filter:Filter_0_inst|Filter_bits[11..0], Filter:Filter_0_inst|Filter_bits[11], Filter:Filter_0_inst|Filter_bits[10], Filter:Filter_0_inst|Filter_bits[9], Filter:Filter_0_inst|Filter_bits[8], Filter:Filter_0_inst|Filter_bits[7], Filter:Filter_0_inst|Filter_bits[6], Filter:Filter_0_inst|Filter_bits[5], Filter:Filter_0_inst|Filter_bits[4], Filter:Filter_0_inst|Filter_bits[3], Filter:Filter_0_inst|Filter_bits[2], Filter:Filter_0_inst|Filter_bits[1], Filter:Filter_0_inst|Filter_bits[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, 
132, -32, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
133, -21, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 
134, -9, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 
135, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
136, 16, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
137, 28, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
138, 39, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
139, 48, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 
140, 55, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 
141, 59, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
142, 60, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
143, 58, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 
144, 53, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 
145, 45, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 
146, 36, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
147, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
148, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
150, -13, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 
151, -24, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
152, -34, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 
153, -42, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 
154, -47, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 
155, -50, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 
156, -51, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 
157, -48, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 
158, -44, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 
159, -37, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 
160, -27, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 
161, -16, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 
162, -4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
163, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
164, 21, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 
165, 33, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
166, 43, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 
167, 51, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 
168, 57, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 
169, 60, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
170, 59, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 
171, 56, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
172, 50, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
173, 42, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 
174, 32, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
175, 20, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
176, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
177, -5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 
178, -18, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 
179, -29, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 
180, -38, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 
181, -45, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 
182, -50, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 
183, -52, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 
184, -51, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 
185, -48, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 
186, -43, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 
187, -35, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 
188, -25, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 
189, -13, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 
190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
191, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
192, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 
193, 37, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 
194, 46, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 
195, 54, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 
