Groups:
AD9226_0_BITS[11..0] =, AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0],  signed decimal
AD9226_1_BITS[11..0] =, AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0],  signed decimal

Data:
time unit: s, AD9226_0_BITS[11..0], AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0], AD9226_1_BITS[11..0], AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
95, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, -795, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 
96, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, -830, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 
97, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, -877, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 
98, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, -914, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 
99, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, -953, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
100, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, -928, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 
101, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, -1044, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 
102, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, -1057, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 
103, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, -1122, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
104, 306, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, -1159, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 
105, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, -1194, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
106, 305, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, -1230, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 
107, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, -1266, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 
108, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, -1316, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 
109, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, -1340, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 
110, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, -1373, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 
111, 305, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, -1425, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 
112, 312, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, -1378, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 
